Level,World,Negative_Script,Distortion_Type,XP_Value,Hint_for_Reframe,Sample_Strong_Reframe
1.1,Inner Critic Woods,"If this prototype isn't perfect, I've failed.",All-or-Nothing,10,Is there a middle ground between perfect and failed?,A rough prototype that teaches me something is more valuable than a perfect one I never ship.
1.2,Inner Critic Woods,Everyone else knows more about AI than I do.,Comparison Trap,10,Are you comparing your beginning to someone else's middle?,"I'm earlier in my learning journey, and that's exactly where I'm supposed to be right now."
1.3,Inner Critic Woods,I always mess up presentations.,Overgeneralization,10,Has there ever been ONE time it went okay?,"I've struggled with some presentations, but each one teaches me what to improve next time."
1.4,Inner Critic Woods,My professor didn't smile during my pitch — they must hate my idea.,Mind-Reading,10,Can you really know what someone is thinking from one facial expression?,I can't read minds. I'll ask for specific feedback instead of assuming the worst.
1.5,Inner Critic Woods,That failed quiz proves I'm not college material.,Labeling,10,Is one quiz the same as your entire identity?,One quiz doesn't define my ability — it shows me where to focus my study time.
2.1,Reframe River,"My first idea failed, so I'm not a good entrepreneur.",Catastrophizing,20,Do most successful founders get it right on attempt #1?,My first idea didn't work YET — but I learned what my customer actually needs.
2.2,Reframe River,The professor didn't like my pitch — I should quit.,Mind-Reading,20,"Did they actually say they didn't like it, or are you interpreting?","I received critical feedback, which means my professor thinks I'm worth investing time in."
2.3,Reframe River,I'm too young to be taken seriously as a founder.,Disqualifying the Positive,20,What advantages does your age actually give you?,"My age gives me energy, digital fluency, and less to lose — that's a competitive edge."
2.4,Reframe River,"If I ask for help, people will think I'm incompetent.",Fortune Telling,20,What do YOU think when someone asks you for help?,Asking for help shows self-awareness and resourcefulness — two traits investors look for.
2.5,Reframe River,I got lucky on that last project — next time I'll be exposed.,Discounting the Positive,20,What specific actions did YOU take that led to that success?,"I prepared thoroughly, iterated on feedback, and executed — that's skill, not luck."
3.1,Imposter Inferno,I only got into this program because of luck.,Imposter Syndrome,30,What did your application actually include?,"I earned my spot through my application, my ideas, and my effort — luck didn't write my essays."
3.2,Imposter Inferno,Everyone in this cohort is smarter than me.,Comparison Trap,30,Are you comparing your insides to their outsides?,I bring a unique perspective that no one else in this room has — that's my value.
3.3,Imposter Inferno,I don't belong in this entrepreneurship class — I'm not a 'business person.',Labeling,30,Who decides what a 'business person' looks like?,Entrepreneurship is about solving problems creatively — and I do that in my own way every day.
3.4,Imposter Inferno,"If people knew how confused I actually am, they'd lose respect for me.",Fortune Telling,30,Is confusion the same as incompetence?,Confusion means I'm at the edge of my knowledge — that's exactly where growth happens.
3.5,Imposter Inferno,My teammate's MVP looks way more polished — mine is embarrassing.,Comparison Trap,30,Are you at the same stage of development?,"My MVP is built to learn, not to impress. Function over polish at this stage."
4.1,Resilience Ridge,I bombed my pitch in front of the whole class. I'm not cut out for this.,Catastrophizing,40,Has any successful founder never bombed a pitch?,Every great pitcher has a 'worst pitch' story. Today was mine — and now I know exactly what to fix.
4.2,Resilience Ridge,A classmate's startup got featured in the school paper. Mine didn't.,Comparison Trap,40,Does their visibility diminish your progress?,Their success doesn't subtract from mine. I'll use this as motivation to tell my story better.
4.3,Resilience Ridge,My prototype broke during the demo. Everyone saw.,Catastrophizing,40,What did the audience actually learn from that moment?,A broken demo shows I'm building real things. I'll fix it and the recovery story becomes part of my brand.
4.4,Resilience Ridge,The investor said 'not right now' — that means never.,Fortune Telling,40,What did they actually say vs. what you're adding?,'Not right now' means I need to grow more — and now I know what they're looking for when I come back.
4.5,Resilience Ridge,My team is frustrated with me. I'm a bad leader.,Labeling,40,Is frustration the same as failure?,Friction in a team means we care. I'll ask what they need from me and adjust my approach.
5.1,Growth Peak,I've come this far but I still don't feel like a 'real' entrepreneur.,Imposter Syndrome,50,What would a 'real' entrepreneur have done differently than you?,"I've identified problems, built solutions, and iterated — that IS entrepreneurship. I'm already doing it."
5.2,Growth Peak,What if my business fails after graduation?,Fortune Telling,50,What skills have you built that transfer regardless?,"Even if this venture doesn't scale, I've built skills in problem-solving, leadership, and resilience that serve me anywhere."
5.3,Growth Peak,I should have it all figured out by now.,Should Statements,50,Says who? What's the actual timeline?,"There is no 'should' timeline. I'm building at my pace, and every iteration gets me closer."
5.4,Growth Peak,I'm not ready to mentor others — I still have too much to learn.,Disqualifying the Positive,50,"Does a mentor need to be perfect, or just one step ahead?",I don't need to know everything to help someone who's one step behind me. Teaching deepens my own understanding.
5.5,Growth Peak,Success feels fragile — like it could disappear at any moment.,Catastrophizing,50,What systems have you built that don't depend on luck?,"I've built habits, skills, and relationships that compound over time. My foundation is stronger than I give it credit for."
